Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
input/examples/MeasureReport-ra-measurereport06.json	4335	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	123	0	0	0	0	0	0
input/examples/Observation-ra-obs01pat02.json	2104	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	92	0	0	0	0	0	0
input/examples/Observation-ra-obs01pat03.json	2074	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	55	0	0	0	0	0	0
input/examples/Observation-ra-obs02pat03.json	1264	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	105	45	0	0	0	0	0	0
input/examples/Observation-ra-obs21pat01.json	2093	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	47	0	0	0	0	0	0
input/examples/Organization-ra-laboratory01.json	1200	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	31	0	0	0	0	0	0
input/examples/Organization-ra-org-author.json	1350	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	26	0	0	0	0	0	0
input/examples/Organization-ra-org01pat01.json	1255	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	27	0	0	0	0	0	0
input/examples/Organization-ra-org02pat02.json	1267	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	27	0	0	0	0	0	0
input/examples/Organization-ra-org03pat03.json	1272	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	99	26	0	0	0	0	0	0
input/examples/Organization-ra-payer01.json	1202	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	29	0	0	0	0	0	0
input/examples/Organization-ra-vendor01.json	1252	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	27	0	0	0	0	0	0
input/examples/Parameters-ra-measurereport01-patch-multiple.json	4900	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	98	0	0	0	0	0	0
input/examples/Parameters-ra-measurereport01-patch.json	2121	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	76	0	0	0	0	0	0
input/examples/Parameters-ra-submit-data.json	17839	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	92	0	0	0	0	0	0
input/examples/Patient-ra-patient01.json	3282	7	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	100	40	0	0	0	0	0	0
input/examples/Patient-ra-patient02.json	3314	12	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	127	43	0	0	0	0	0	0
input/examples/Patient-ra-patient03.json	3354	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	86	35	0	0	0	0	0	0
input/examples/Practitioner-ra-prac01pat01.json	1108	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	31	0	0	0	0	0	0
input/examples/Practitioner-ra-prac02pat02.json	1089	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	34	0	0	0	0	0	0
input/examples/Practitioner-ra-prac03pat03.json	1084	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	99	35	0	0	0	0	0	0
input/resources/OperationDefinition-ra.evaluate-measure.xml	4452	60	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	126	131	0	0	0	0	0	0
input/resources/OperationDefinition-risk-gap.xml	5960	16	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	102	195	0	0	0	0	0	0
input/resources/OperationDefinition-submit-remark-data.xml	1865	17	0	0	6	0	0	0	5	10	0	0	0	0	0	0	0	0	0	0	0	61	158	0	0	0	0	0	0
