Fragment,Count,Time (ms),Size (bytes)
Cross.list-byid-medicationstatements-json,3,27,0
Cross.list-byid-medicationstatements-xml,3,56,0
Cross.list-byid-medicinalproductauthorizations,3,1,0
Cross.list-byid-medicinalproductauthorizations-json,3,37,0
Cross.list-byid-medicinalproductauthorizations-xml,3,63,0
Cross.list-byid-medicinalproductcontraindications,3,2,0
Cross.list-byid-medicinalproductcontraindications-json,3,18,0
Cross.list-byid-medicinalproductcontraindications-xml,3,30,0
Cross.list-byid-medicinalproductindications,3,1,0
Cross.list-byid-medicinalproductindications-json,3,25,0
Cross.list-byid-medicinalproductindications-xml,3,56,0
Cross.list-byid-medicinalproductingredients,3,1,0
Cross.list-byid-medicinalproductingredients-json,3,31,0
Cross.list-byid-medicinalproductingredients-xml,3,63,0
Cross.list-byid-medicinalproductinteractions,3,0,0
Cross.list-byid-medicinalproductinteractions-json,3,31,0
Cross.list-byid-medicinalproductinteractions-xml,3,64,0
Cross.list-byid-medicinalproductmanufactureds,3,1,0
Cross.list-byid-medicinalproductmanufactureds-json,3,26,0
Cross.list-byid-medicinalproductmanufactureds-xml,3,54,0
Cross.list-byid-medicinalproductpackageds,3,0,0
Cross.list-byid-medicinalproductpackageds-json,3,46,0
Cross.list-byid-medicinalproductpackageds-xml,3,81,0
Cross.list-byid-medicinalproductpharmaceuticals,3,1,0
Cross.list-byid-medicinalproductpharmaceuticals-json,3,21,0
Cross.list-byid-medicinalproductpharmaceuticals-xml,3,41,0
Cross.list-byid-medicinalproducts,3,1,0
Cross.list-byid-medicinalproducts-json,3,18,0
Cross.list-byid-medicinalproducts-xml,3,36,0
Cross.list-byid-medicinalproductundesirableeffects,3,0,0
Cross.list-byid-medicinalproductundesirableeffects-json,3,22,0
Cross.list-byid-medicinalproductundesirableeffects-xml,3,42,0
Cross.list-byid-messagedefinitions,3,2,0
Cross.list-byid-messagedefinitions-json,3,38,0
Cross.list-byid-messagedefinitions-xml,3,77,0
Cross.list-byid-messageheaders,3,1,0
Cross.list-byid-messageheaders-json,3,31,0
Cross.list-byid-messageheaders-xml,3,68,0
Cross.list-byid-molecularsequences,3,0,0
Cross.list-byid-molecularsequences-json,3,14,0
Cross.list-byid-molecularsequences-xml,3,27,0
Cross.list-byid-namingsystems,3,0,0
Cross.list-byid-namingsystems-json,3,19,0
Cross.list-byid-namingsystems-xml,3,42,0
Cross.list-byid-nutritionorders,3,1,0
Cross.list-byid-nutritionorders-json,3,40,0
Cross.list-byid-nutritionorders-xml,3,74,0
Cross.list-byid-observationdefinitions,3,0,0
Cross.list-byid-observationdefinitions-json,3,30,0
Cross.list-byid-observationdefinitions-xml,3,54,0
Cross.list-byid-observations,3,2,369
Cross.list-byid-observations-json,3,38,384
Cross.list-byid-observations-xml,3,76,381
Cross.list-byid-operationdefinitions,3,1,0
Cross.list-byid-operationdefinitions-json,3,18,0
Cross.list-byid-operationdefinitions-xml,3,34,0
Cross.list-byid-operationoutcomes,3,0,0
Cross.list-byid-operationoutcomes-json,3,13,0
Cross.list-byid-operationoutcomes-xml,3,32,0
Cross.list-byid-organizationaffiliations,3,0,0
Cross.list-byid-organizationaffiliations-json,3,27,0
Cross.list-byid-organizationaffiliations-xml,3,55,0
Cross.list-byid-organizations,3,0,0
Cross.list-byid-organizations-json,3,26,0
Cross.list-byid-organizations-xml,3,54,0
Cross.list-byid-parameters,3,1,0
Cross.list-byid-parameters-json,3,33,0
Cross.list-byid-parameters-xml,3,69,0
Cross.list-byid-patients,3,1,333
Cross.list-byid-patients-json,3,28,348
Cross.list-byid-patients-xml,3,54,345
Cross.list-byid-paymentnotices,3,2,0
Cross.list-byid-paymentnotices-json,3,31,0
Cross.list-byid-paymentnotices-xml,3,60,0
Cross.list-byid-paymentreconciliations,3,1,0
Cross.list-byid-paymentreconciliations-json,3,30,0
Cross.list-byid-paymentreconciliations-xml,3,62,0
Cross.list-byid-people,3,1,0
Cross.list-byid-people-json,3,31,0
Cross.list-byid-people-xml,3,61,0
Cross.list-byid-plandefinitions,3,0,0
Cross.list-byid-plandefinitions-json,3,21,0
Cross.list-byid-plandefinitions-xml,3,49,0
Cross.list-byid-practitionerroles,3,0,0
Cross.list-byid-practitionerroles-json,3,27,0
Cross.list-byid-practitionerroles-xml,3,50,0
Cross.list-byid-practitioners,3,1,0
Cross.list-byid-practitioners-json,3,24,0
Cross.list-byid-practitioners-xml,3,44,0
Cross.list-byid-procedures,3,1,0
Cross.list-byid-procedures-json,3,22,0
Cross.list-byid-procedures-xml,3,39,0
Cross.list-byid-provenances,3,1,0
Cross.list-byid-provenances-json,3,21,0
Cross.list-byid-provenances-xml,3,47,0
Cross.list-byid-questionnaireresponses,3,2,0
Cross.list-byid-questionnaireresponses-json,3,25,0
Cross.list-byid-questionnaireresponses-xml,3,44,0
Cross.list-byid-questionnaires,3,0,444
Cross.list-byid-questionnaires-json,3,24,459
Cross.list-byid-questionnaires-xml,3,46,456
Cross.list-byid-relatedpeople,3,1,0
Cross.list-byid-relatedpeople-json,3,21,0
Cross.list-byid-relatedpeople-xml,3,43,0
Cross.list-byid-requestgroups,3,0,0
Cross.list-byid-requestgroups-json,3,24,0
Cross.list-byid-requestgroups-xml,3,50,0
Cross.list-byid-requirements,3,0,0
Cross.list-byid-requirements-json,3,16,0
Cross.list-byid-requirements-xml,3,29,0
Cross.list-byid-researchdefinitions,3,0,0
Cross.list-byid-researchdefinitions-json,3,32,0
Cross.list-byid-researchdefinitions-xml,3,65,0
Cross.list-byid-researchelementdefinitions,3,0,0
Cross.list-byid-researchelementdefinitions-json,3,29,0
Cross.list-byid-researchelementdefinitions-xml,3,56,0
Cross.list-byid-researchstudies,3,1,0
Cross.list-byid-researchstudies-json,3,15,0
Cross.list-byid-researchstudies-xml,3,35,0
Cross.list-byid-researchsubjects,3,1,0
Cross.list-byid-researchsubjects-json,3,31,0
Cross.list-byid-researchsubjects-xml,3,59,0
Cross.list-byid-riskassessments,3,0,0
Cross.list-byid-riskassessments-json,3,31,0
Cross.list-byid-riskassessments-xml,3,53,0
Cross.list-byid-riskevidencesyntheses,3,0,0
Cross.list-byid-riskevidencesyntheses-json,3,30,0
Cross.list-byid-riskevidencesyntheses-xml,3,64,0
Cross.list-byid-schedules,3,1,0
Cross.list-byid-schedules-json,3,28,0
Cross.list-byid-schedules-xml,3,47,0
Cross.list-byid-searchparameters,3,2,0
Cross.list-byid-searchparameters-json,3,18,0
Cross.list-byid-searchparameters-xml,3,41,0
Cross.list-byid-servicerequests,3,1,0
Cross.list-byid-servicerequests-json,3,29,0
Cross.list-byid-servicerequests-xml,3,55,0
Cross.list-byid-slots,3,0,0
Cross.list-byid-slots-json,3,28,0
Cross.list-byid-slots-xml,3,53,0
Cross.list-byid-specimen,3,1,0
Cross.list-byid-specimen-json,3,27,0
Cross.list-byid-specimen-xml,3,56,0
Cross.list-byid-specimendefinitions,3,0,0
Cross.list-byid-specimendefinitions-json,3,31,0
Cross.list-byid-specimendefinitions-xml,3,60,0
Cross.list-byid-structuredefinitions,3,2,2166
Cross.list-byid-structuredefinitions-json,3,19,2241
Cross.list-byid-structuredefinitions-xml,3,33,2226
Cross.list-byid-structuremaps,3,2,0
Cross.list-byid-structuremaps-json,3,29,0
Cross.list-byid-structuremaps-xml,3,57,0
Cross.list-byid-subscriptions,3,1,0
Cross.list-byid-subscriptions-json,3,29,0
Cross.list-byid-subscriptions-xml,3,60,0
Cross.list-byid-subscriptiontopics,3,1,0
Cross.list-byid-subscriptiontopics-json,3,31,0
Cross.list-byid-subscriptiontopics-xml,3,66,0
Cross.list-byid-substancenucleicacids,3,1,0
Cross.list-byid-substancenucleicacids-json,3,25,0
Cross.list-byid-substancenucleicacids-xml,3,50,0
Cross.list-byid-substancepolymers,3,3,0
Cross.list-byid-substancepolymers-json,3,33,0
Cross.list-byid-substancepolymers-xml,3,63,0
Cross.list-byid-substanceproteins,3,2,0
Cross.list-byid-substanceproteins-json,3,24,0
Cross.list-byid-substanceproteins-xml,3,47,0
Cross.list-byid-substancereferenceinformations,3,0,0
Cross.list-byid-substancereferenceinformations-json,3,28,0
Cross.list-byid-substancereferenceinformations-xml,3,52,0
Cross.list-byid-substances,3,0,0
Cross.list-byid-substances-json,3,26,0
Cross.list-byid-substances-xml,3,51,0
Cross.list-byid-substancesourcematerials,3,2,0
Cross.list-byid-substancesourcematerials-json,3,31,0
Cross.list-byid-substancesourcematerials-xml,3,60,0
Cross.list-byid-substancespecifications,3,2,0
Cross.list-byid-substancespecifications-json,3,18,0
Cross.list-byid-substancespecifications-xml,3,34,0
Cross.list-byid-supplydeliveries,3,0,0
Cross.list-byid-supplydeliveries-json,3,35,0
Cross.list-byid-supplydeliveries-xml,3,69,0
Cross.list-byid-supplyrequests,3,0,0
Cross.list-byid-supplyrequests-json,3,20,0
Cross.list-byid-supplyrequests-xml,3,44,0
Cross.list-byid-tasks,3,1,0
Cross.list-byid-tasks-json,3,23,0
Cross.list-byid-tasks-xml,3,40,0
Cross.list-byid-terminologycapabilities,3,1,0
Cross.list-byid-terminologycapabilities-json,3,27,0
Cross.list-byid-terminologycapabilities-xml,3,48,0
Cross.list-byid-testplans,3,0,0
Cross.list-byid-testplans-json,3,24,0
Cross.list-byid-testplans-xml,3,46,0
Cross.list-byid-testreports,3,0,0
Cross.list-byid-testreports-json,3,30,0
Cross.list-byid-testreports-xml,3,54,0
Cross.list-byid-testscripts,3,0,0
Cross.list-byid-testscripts-json,3,28,0
Cross.list-byid-testscripts-xml,3,56,0
Cross.list-byid-valuesets,3,2,723
Cross.list-byid-valuesets-json,3,22,753
Cross.list-byid-valuesets-xml,3,35,747
Cross.list-byid-verificationresults,3,0,0
Cross.list-byid-verificationresults-json,3,29,0
Cross.list-byid-verificationresults-xml,3,58,0
Cross.list-byid-visionprescriptions,3,0,0
Cross.list-byid-visionprescriptions-json,3,25,0
Cross.list-byid-visionprescriptions-xml,3,48,0
Cross.list-capabilitystatements,3,0,0
Cross.list-capabilitystatements-json,3,31,0
Cross.list-capabilitystatements-xml,3,63,0
Cross.list-careplans,3,0,0
Cross.list-careplans-json,3,19,0
Cross.list-careplans-xml,3,39,0
